produto,classificao_produto,id_produto,nom_municipio,cod_ibge,uf,regiao,ano,mes,dsc_nivel_comercializacao,valor_produto_kg
00-18-18                 ,NÃO INFORMADO       ,10224,SORRISO-MT                                        ,5107925,MT        ,CENTRO-OESTE   ,2024,11,PREÇO PAGO PELO PRODUTOR                                    ,"2,3"
00-18-18                 ,NÃO INFORMADO       ,10224,SORRISO-MT                                        ,5107925,MT        ,CENTRO-OESTE   ,2025,3,PREÇO PAGO PELO PRODUTOR                                    ,"2,28"
00-18-18                 ,NÃO INFORMADO       ,10224,SORRISO-MT                                        ,5107925,MT        ,CENTRO-OESTE   ,2025,7,PREÇO PAGO PELO PRODUTOR                                    ,"2,27"
00-20-20                 ,NÃO INFORMADO       ,4466,CAMPO NOVO DO PARECIS-MT                          ,5102637,MT        ,CENTRO-OESTE   ,2024,11,PREÇO PAGO PELO PRODUTOR                                    ,"2,44"
00-20-20                 ,NÃO INFORMADO       ,4466,CAMPO NOVO DO PARECIS-MT                          ,5102637,MT        ,CENTRO-OESTE   ,2025,3,PREÇO PAGO PELO PRODUTOR                                    ,"2,35"
00-20-20                 ,NÃO INFORMADO       ,4466,CAMPO NOVO DO PARECIS-MT                          ,5102637,MT        ,CENTRO-OESTE   ,2025,7,PREÇO PAGO PELO PRODUTOR                                    ,"2,33"
02-20-18                 ,NÃO INFORMADO       ,14915,CASCAVEL-PR                                       ,4104808,PR        ,SUL            ,2025,3,PREÇO PAGO PELO PRODUTOR                                    ,"2,81"
02-20-18                 ,NÃO INFORMADO       ,14915,CASCAVEL-PR                                       ,4104808,PR        ,SUL            ,2025,9,PREÇO PAGO PELO PRODUTOR                                    ,"2,95"
02-20-18 + MICRONUTRIENTE,NÃO INFORMADO       ,6296,RIO VERDE-GO                                      ,5218805,GO        ,CENTRO-OESTE   ,2024,11,PREÇO PAGO PELO PRODUTOR                                    ,"2,85"
02-20-18 + MICRONUTRIENTE,NÃO INFORMADO       ,6296,CAMPO MOURÃO-PR                                   ,4104303,PR        ,SUL            ,2024,11,PREÇO PAGO PELO PRODUTOR                                    ,"2,67"
02-20-18 + MICRONUTRIENTE,NÃO INFORMADO       ,6296,RIO VERDE-GO                                      ,5218805,GO        ,CENTRO-OESTE   ,2025,3,PREÇO PAGO PELO PRODUTOR                                    ,"3,0"
02-20-18 + MICRONUTRIENTE,NÃO INFORMADO       ,6296,CAMPO MOURÃO-PR                                   ,4104303,PR        ,SUL            ,2025,3,PREÇO PAGO PELO PRODUTOR                                    ,"2,86"
02-20-18 + MICRONUTRIENTE,NÃO INFORMADO       ,6296,RIO VERDE-GO                                      ,5218805,GO        ,CENTRO-OESTE   ,2025,7,PREÇO PAGO PELO PRODUTOR                                    ,"3,27"
02-20-18 + MICRONUTRIENTE,NÃO INFORMADO       ,6296,CAMPO MOURÃO-PR                                   ,4104303,PR        ,SUL            ,2025,7,PREÇO PAGO PELO PRODUTOR                                    ,"3,06"
02-20-20                 ,NÃO INFORMADO       ,4476,SÃO LUIZ GONZAGA-RS                               ,4318903,RS        ,SUL            ,2024,11,PREÇO PAGO PELO PRODUTOR                                    ,"2,55"
02-20-20                 ,NÃO INFORMADO       ,4476,SÃO LUIZ GONZAGA-RS                               ,4318903,RS        ,SUL            ,2025,3,PREÇO PAGO PELO PRODUTOR                                    ,"2,55"
02-20-20                 ,NÃO INFORMADO       ,4476,SÃO LUIZ GONZAGA-RS                               ,4318903,RS        ,SUL            ,2025,7,PREÇO PAGO PELO PRODUTOR                                    ,"2,72"
02-23-18                 ,NÃO INFORMADO       ,9780,CRISTALINA-GO                                     ,5206206,GO        ,CENTRO-OESTE   ,2024,10,PREÇO PAGO PELO PRODUTOR                                    ,"3,25"
02-23-18                 ,NÃO INFORMADO       ,9780,CRISTALINA-GO                                     ,5206206,GO        ,CENTRO-OESTE   ,2024,11,PREÇO PAGO PELO PRODUTOR                                    ,"3,25"
02-23-18                 ,NÃO INFORMADO       ,9780,CRISTALINA-GO                                     ,5206206,GO        ,CENTRO-OESTE   ,2025,3,PREÇO PAGO PELO PRODUTOR                                    ,"2,8"
02-23-23                 ,NÃO INFORMADO       ,11824,CRUZ ALTA-RS                                      ,4306106,RS        ,SUL            ,2024,11,PREÇO PAGO PELO PRODUTOR                                    ,"2,77"
02-23-23                 ,NÃO INFORMADO       ,11824,SÃO GABRIEL-RS                                    ,4318309,RS        ,SUL            ,2024,11,PREÇO PAGO PELO PRODUTOR                                    ,"2,8"
02-23-23                 ,NÃO INFORMADO       ,11824,CRUZ ALTA-RS                                      ,4306106,RS        ,SUL            ,2025,3,PREÇO PAGO PELO PRODUTOR                                    ,"2,8"
02-23-23                 ,NÃO INFORMADO       ,11824,SÃO GABRIEL-RS                                    ,4318309,RS        ,SUL            ,2025,3,PREÇO PAGO PELO PRODUTOR                                    ,"2,81"
02-23-23                 ,NÃO INFORMADO       ,11824,CRUZ ALTA-RS                                      ,4306106,RS        ,SUL            ,2025,7,PREÇO PAGO PELO PRODUTOR                                    ,"2,93"
02-23-23                 ,NÃO INFORMADO       ,11824,SÃO GABRIEL-RS                                    ,4318309,RS        ,SUL            ,2025,7,PREÇO PAGO PELO PRODUTOR                                    ,"2,96"
02-28-16                 ,NÃO INFORMADO       ,13762,CRISTALINA-GO                                     ,5206206,GO        ,CENTRO-OESTE   ,2024,11,PREÇO PAGO PELO PRODUTOR                                    ,"2,19"
02-28-16                 ,NÃO INFORMADO       ,13762,CRISTALINA-GO                                     ,5206206,GO        ,CENTRO-OESTE   ,2025,3,PREÇO PAGO PELO PRODUTOR                                    ,"2,8"
02-28-16                 ,NÃO INFORMADO       ,13762,CRISTALINA-GO                                     ,5206206,GO        ,CENTRO-OESTE   ,2025,7,PREÇO PAGO PELO PRODUTOR                                    ,"2,9"
02-28-20                 ,NÃO INFORMADO       ,12700,GUARAPUAVA-PR                                     ,4109401,PR        ,SUL            ,2024,10,PREÇO PAGO PELO PRODUTOR                                    ,"3,28"
02-28-20                 ,NÃO INFORMADO       ,12700,GUARAPUAVA-PR                                     ,4109401,PR        ,SUL            ,2025,3,PREÇO PAGO PELO PRODUTOR                                    ,"3,55"
02-28-20                 ,NÃO INFORMADO       ,12700,GUARAPUAVA-PR                                     ,4109401,PR        ,SUL            ,2025,9,PREÇO PAGO PELO PRODUTOR                                    ,"3,7"
03-21-21                 ,YARA YARA BASA ROBUS,14765,LONDRINA-PR                                       ,4113700,PR        ,SUL            ,2024,11,PREÇO PAGO PELO PRODUTOR                                    ,"3,59"
03-21-21                 ,YARA YARA BASA ROBUS,14765,LONDRINA-PR                                       ,4113700,PR        ,SUL            ,2025,3,PREÇO PAGO PELO PRODUTOR                                    ,"3,31"
03-21-21                 ,YARA YARA BASA ROBUS,14765,LONDRINA-PR                                       ,4113700,PR        ,SUL            ,2025,7,PREÇO PAGO PELO PRODUTOR                                    ,"3,92"
03-30-15                 ,NÃO INFORMADO       ,4479,FREI ROGÉRIO-SC                                   ,4205555,SC        ,SUL            ,2025,3,PREÇO PAGO PELO PRODUTOR                                    ,"3,6"
04-14-07                 ,NÃO INFORMADO       ,13001,DOMINGOS MARTINS-ES                               ,3201902,ES        ,SUDESTE        ,2025,9,PREÇO PAGO PELO PRODUTOR                                    ,"2,8"
04-14-08                 ,NÃO INFORMADO       ,4480,CRUZ DAS ALMAS-BA                                 ,2909802,BA        ,NORDESTE       ,2025,3,PREÇO PAGO PELO PRODUTOR                                    ,"3,3"
04-14-08                 ,NÃO INFORMADO       ,4480,FLORES DA CUNHA-RS                                ,4308201,RS        ,SUL            ,2025,8,PREÇO PAGO PELO PRODUTOR                                    ,"2,53"
04-14-08                 ,NÃO INFORMADO       ,4480,CRUZ DAS ALMAS-BA                                 ,2909802,BA        ,NORDESTE       ,2025,9,PREÇO PAGO PELO PRODUTOR                                    ,"3,12"
04-14-08                 ,NÃO INFORMADO       ,4480,CONTENDA-PR                                       ,4106209,PR        ,SUL            ,2025,9,PREÇO PAGO PELO PRODUTOR                                    ,"2,67"
04-14-08                 ,NÃO INFORMADO       ,4480,SÃO JOSÉ DE UBÁ-RJ                                ,3305133,RJ        ,SUDESTE        ,2025,9,PREÇO PAGO PELO PRODUTOR                                    ,"3,4"
04-20-20                 ,NÃO INFORMADO       ,4482,LAGOA DA CONFUSÃO-TO                              ,1711902,TO        ,NORTE          ,2024,10,PREÇO PAGO PELO PRODUTOR                                    ,"2,5"
04-20-20                 ,NÃO INFORMADO       ,4482,LAGOA DA CONFUSÃO-TO                              ,1711902,TO        ,NORTE          ,2024,11,PREÇO PAGO PELO PRODUTOR                                    ,"2,5"
04-20-20                 ,NÃO INFORMADO       ,4482,LAGOA DA CONFUSÃO-TO                              ,1711902,TO        ,NORTE          ,2025,3,PREÇO PAGO PELO PRODUTOR                                    ,"2,5"
04-20-20                 ,NÃO INFORMADO       ,4482,LAGOA DA CONFUSÃO-TO                              ,1711902,TO        ,NORTE          ,2025,7,PREÇO PAGO PELO PRODUTOR                                    ,"2,5"
04-24-12                 ,NÃO INFORMADO       ,4486,FLORES DA CUNHA-RS                                ,4308201,RS        ,SUL            ,2025,8,PREÇO PAGO PELO PRODUTOR                                    ,"2,98"
04-30-05                 ,NÃO INFORMADO       ,10443,SORRISO-MT                                        ,5107925,MT        ,CENTRO-OESTE   ,2024,11,PREÇO PAGO PELO PRODUTOR                                    ,"2,56"
04-30-05                 ,NÃO INFORMADO       ,10443,SORRISO-MT                                        ,5107925,MT        ,CENTRO-OESTE   ,2025,3,PREÇO PAGO PELO PRODUTOR                                    ,"2,52"
