,Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)",latitude,longitude,estacao,geometry,estado
0,2010-01-31,17.0,"216,2","998,9","28,1",6,"1,3",-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
1,2010-02-28,10.0,"162,2","999,2","28,6","6,3","1,8",-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
2,2010-03-31,4.0,"76,4","1000,2","28,2","6,6",1,-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
3,2010-04-30,5.0,29,"1003,9","24,9","5,8","1,4",-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
4,2010-05-31,15.0,"160,2","1006,1","19,5","5,4","1,3",-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
5,2010-06-30,4.0,"4,2","1006,1","21,5","6,1","1,3",-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
6,2010-07-31,6.0,,"1005,2","21,1",7,"1,6",-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
7,2010-08-31,1.0,",4","1004,9","22,2","8,4","1,1",-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
8,2010-09-30,6.0,"31,8","1001,1","25,3",7,"1,8",-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
9,2010-10-31,8.0,"61,8","1001,4","26,1","6,8","1,9",-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
10,2010-11-30,9.0,"161,4","999,7","25,4","6,5","1,4",-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
11,2010-12-31,1.0,,,,"7,7",,-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
12,2011-01-31,,,,,"6,1",,-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
13,2011-02-28,7.0,,,,"4,9",,-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
14,2011-03-31,12.0,"152,6",1000,"26,6","5,2","1,8",-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
15,2011-04-30,8.0,"126,4","1002,4","25,3","9,8","1,6",-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
16,2011-05-31,5.0,"19,6","1006,1","21,4","5,7","1,5",-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
17,2011-06-30,5.0,"8,8","1005,2","20,4","8,3",2,-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
18,2011-07-31,8.0,"28,2","1004,9",21,"6,5","2,3",-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
19,2011-08-31,4.0,"27,2","1004,5","22,8","7,7","2,7",-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
20,2011-09-30,5.0,"89,8","1004,2","24,8","9,6","2,3",-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
21,2011-10-31,9.0,100,"999,8","26,8","9,2","2,4",-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
22,2011-11-30,6.0,"59,2","999,3","27,6","7,6","2,1",-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
23,2011-12-31,3.0,67,"999,1","28,7","6,2","2,1",-21.70583333,-57.88666666,PORTO MURTINHO,POINT (-57.88666666 -21.70583333),MS
