"Date";"Value"
"08/20/1973";0,6735
"08/21/1973";0,671
"08/22/1973";0,658
"08/23/1973";0,6675
"08/24/1973";0,666
"08/27/1973";0,659
"08/28/1973";0,64
"08/29/1973";0,6345
"08/30/1973";0,6387
"08/31/1973";0,6402
"09/04/1973";0,6432
"09/05/1973";0,637
"09/06/1973";0,636
"09/07/1973";0,638
"09/10/1973";0,6335
"09/11/1973";0,6302
"09/12/1973";0,6365
"09/13/1973";0,645
"09/14/1973";0,6645
"09/17/1973";0,6575
"09/18/1973";0,6562
"09/19/1973";0,6515
"09/20/1973";0,648
"09/21/1973";0,6465
"09/24/1973";0,657
"09/25/1973";0,673
"09/26/1973";0,684
"09/27/1973";0,6855
"09/28/1973";0,6782
"10/01/1973";0,68
"10/02/1973";0,6847
"10/03/1973";0,6845
"10/04/1973";0,6812
"10/05/1973";0,6822
"10/09/1973";0,677
"10/10/1973";0,6795
"10/11/1973";0,6702
"10/12/1973";0,6507
"10/15/1973";0,6415
"10/16/1973";0,6433
"10/17/1973";0,642
"10/18/1973";0,6493
"10/19/1973";0,652
"10/23/1973";0,652
"10/24/1973";0,6453
"10/25/1973";0,6483
"10/26/1973";0,6478
"10/29/1973";0,6438
"10/30/1973";0,6448
"10/31/1973";0,6505
"11/01/1973";0,6544
"11/02/1973";0,6475
"11/05/1973";0,652
"11/07/1973";0,655
"11/08/1973";0,657
"11/09/1973";0,657
"11/12/1973";0,661
"11/13/1973";0,657
"11/14/1973";0,6413
"11/15/1973";0,6445
"11/16/1973";0,647
"11/19/1973";0,6503
"11/20/1973";0,64
"11/21/1973";0,6381
"11/23/1973";0,641
"11/26/1973";0,6275
"11/27/1973";0,628
"11/28/1973";0,6344
"11/29/1973";0,6498
"11/30/1973";0,6534
"12/03/1973";0,6618
"12/04/1973";0,6645
"12/05/1973";0,6655
"12/06/1973";0,664
"12/07/1973";0,6718
"12/10/1973";0,685
"12/11/1973";0,6735
"12/12/1973";0,6739
"12/13/1973";0,6698
"12/14/1973";0,667
"12/17/1973";0,6688
"12/18/1973";0,6693
"12/19/1973";0,672
"12/20/1973";0,6728
"12/21/1973";0,6733
"12/26/1973";0,6763
"12/27/1973";0,674
"12/28/1973";0,6705
"12/31/1973";0,674
"01/02/1974";0,689
"01/03/1974";0,688
"01/04/1974";0,684
"01/07/1974";0,6978
"01/08/1974";0,692
"01/09/1974";0,6903
"01/10/1974";0,6958
"01/11/1974";0,7085
"01/14/1974";0,7285
"01/15/1974";0,7195
"01/16/1974";0,7238
"01/17/1974";0,719
"01/18/1974";0,718
"01/21/1974";0,738
"01/22/1974";0,731
"01/23/1974";0,7225
"01/24/1974";0,7405
"01/25/1974";0,7485
"01/28/1974";0,7425
"01/29/1974";0,7373
"01/30/1974";0,7328
"01/31/1974";0,7265
"02/01/1974";0,7333
"02/04/1974";0,7533
"02/05/1974";0,755
"02/06/1974";0,7405
"02/07/1974";0,75
"02/08/1974";0,768
"02/11/1974";0,788
"02/13/1974";0,768
"02/14/1974";0,773
"02/15/1974";0,78
"02/19/1974";0,76
"02/20/1974";0,7425
"02/21/1974";0,7625
"02/22/1974";0,7548
"02/25/1974";0,7476
"02/26/1974";0,7625
"02/27/1974";0,7442
"02/28/1974";0,7347
"03/01/1974";0,737
"03/04/1974";0,7181
"03/05/1974";0,7025
"03/06/1974";0,719
"03/07/1974";0,72
"03/08/1974";0,7248
"03/11/1974";0,7208
"03/12/1974";0,7208
"03/13/1974";0,7233
"03/14/1974";0,7393
"03/15/1974";0,7363
"03/18/1974";0,7433
"03/19/1974";0,7318
"03/20/1974";0,7453
"03/21/1974";0,7653
"03/22/1974";0,7568
"03/25/1974";0,7368
"03/26/1974";0,72
"03/27/1974";0,734
"03/28/1974";0,7315
"03/29/1974";0,749
"04/01/1974";0,7305
"04/02/1974";0,7365
"04/03/1974";0,734
"04/04/1974";0,7425
"04/05/1974";0,726
"04/08/1974";0,708
"04/09/1974";0,712
"04/10/1974";0,716
"04/11/1974";0,714
"04/15/1974";0,71
"04/16/1974";0,69
"04/17/1974";0,6993
"04/18/1974";0,707
"04/19/1974";0,7148
"04/22/1974";0,719
"04/23/1974";0,704
"04/24/1974";0,6985
"04/25/1974";0,699
"04/26/1974";0,7088
"04/29/1974";0,7162
"04/30/1974";0,7246
"05/01/1974";0,7455
"05/02/1974";0,744
"05/03/1974";0,7415
"05/06/1974";0,7215
"05/07/1974";0,7285
"05/08/1974";0,7356
"05/09/1974";0,7458
"05/10/1974";0,7463
"05/13/1974";0,7338
"05/14/1974";0,7325
"05/15/1974";0,7125
"05/16/1974";0,7293
"05/17/1974";0,7355
"05/20/1974";0,7278
"05/21/1974";0,7328
"05/22/1974";0,731
"05/23/1974";0,7138
"05/24/1974";0,7243
"05/28/1974";0,7165
"05/29/1974";0,7255
"05/30/1974";0,7263
"05/31/1974";0,7313
"06/03/1974";0,7355
"06/04/1974";0,7325
"06/05/1974";0,7393
"06/06/1974";0,7428
"06/07/1974";0,7435
"06/10/1974";0,7505
"06/11/1974";0,7478
"06/12/1974";0,7475
"06/13/1974";0,748
"06/14/1974";0,7495
"06/17/1974";0,737
"06/18/1974";0,717
"06/19/1974";0,7318
"06/20/1974";0,726
"06/21/1974";0,7098
"06/24/1974";0,6898
"06/25/1974";0,6752
"06/26/1974";0,6914
"06/27/1974";0,6868
"06/28/1974";0,7054
"07/01/1974";0,7075
"07/02/1974";0,711
"07/03/1974";0,723
"07/05/1974";0,718
"07/08/1974";0,698
"07/09/1974";0,69
"07/10/1974";0,699
"07/11/1974";0,719
"07/12/1974";0,728
"07/15/1974";0,726
"07/16/1974";0,7292
"07/17/1974";0,7328
"07/18/1974";0,7128
"07/19/1974";0,6928
"07/22/1974";0,695
"07/23/1974";0,68
"07/24/1974";0,6985
"07/25/1974";0,69
"07/26/1974";0,697
"07/29/1974";0,6908
"07/30/1974";0,698
"07/31/1974";0,6925
"08/01/1974";0,6725
"08/02/1974";0,6635
"08/05/1974";0,649
"08/06/1974";0,646
"08/07/1974";0,626
"08/08/1974";0,625
"08/09/1974";0,6243
"08/12/1974";0,6047
"08/13/1974";0,624
"08/14/1974";0,604
"08/15/1974";0,599
"08/16/1974";0,5935
"08/19/1974";0,582
"08/20/1974";0,602
"08/21/1974";0,622
"08/22/1974";0,642
"08/23/1974";0,6615
"08/26/1974";0,7015
"08/27/1974";0,6942
"08/28/1974";0,6594
"08/29/1974";0,6381
"08/30/1974";0,6048
"09/03/1974";0,5735
"09/04/1974";0,5645
"09/05/1974";0,556
"09/06/1974";0,5615
"09/09/1974";0,5625
"09/10/1974";0,565
"09/11/1974";0,548
"09/12/1974";0,538
"09/13/1974";0,518
"09/16/1974";0,5017
"09/17/1974";0,5217
"09/18/1974";0,5045
"09/19/1974";0,5245
"09/20/1974";0,5215
"09/23/1974";0,5415
"09/24/1974";0,549
"09/25/1974";0,569
"09/26/1974";0,5615
"09/27/1974";0,562
"09/30/1974";0,542
"10/01/1974";0,5445
"10/02/1974";0,5525
"10/03/1974";0,565
"10/04/1974";0,564
"10/07/1974";0,565
"10/08/1974";0,585
"10/09/1974";0,5805
"10/10/1974";0,5845
"10/11/1974";0,5844
"10/15/1974";0,5962
"10/16/1974";0,5932
"10/17/1974";0,5858
"10/18/1974";0,5835
"10/21/1974";0,574
"10/22/1974";0,58
"10/23/1974";0,58
"10/24/1974";0,5725
"10/25/1974";0,5665
"10/28/1974";0,579
"10/29/1974";0,57
"10/30/1974";0,5759
"10/31/1974";0,576
"11/01/1974";0,572
"11/04/1974";0,572
"11/06/1974";0,58
"11/07/1974";0,5873
"11/08/1974";0,5965
"11/12/1974";0,6165
"11/13/1974";0,5997
"11/14/1974";0,609
"11/15/1974";0,608
"11/18/1974";0,6185
"11/19/1974";0,632
"11/20/1974";0,6205
"11/21/1974";0,6135
"11/22/1974";0,6075
"11/25/1974";0,5991
"11/26/1974";0,5979
"11/27/1974";0,6089
"11/29/1974";0,6144
"12/02/1974";0,6135
"12/03/1974";0,6077
"12/04/1974";0,599
"12/05/1974";0,579
"12/06/1974";0,5758
"12/09/1974";0,587
"12/10/1974";0,579
"12/11/1974";0,5825
"12/12/1974";0,5958
"12/13/1974";0,5913
"12/16/1974";0,6023
"12/17/1974";0,5935
"12/18/1974";0,5968
"12/19/1974";0,6
"12/20/1974";0,6015
"12/23/1974";0,6
"12/27/1974";0,6013
"12/30/1974";0,596
"12/31/1974";0,5962
"01/02/1975";0,5959
"01/03/1975";0,5941
"01/06/1975";0,5865
"01/07/1975";0,584
"01/08/1975";0,5825
"01/09/1975";0,576
"01/10/1975";0,5728
"01/13/1975";0,5568
"01/14/1975";0,565
"01/15/1975";0,5535
"01/16/1975";0,5465
"01/17/1975";0,549
"01/20/1975";0,546
"01/21/1975";0,5383
"01/22/1975";0,537
"01/23/1975";0,5405
"01/24/1975";0,5605
"01/27/1975";0,5523
"01/28/1975";0,5498
"01/29/1975";0,553
"01/30/1975";0,552
"01/31/1975";0,5475
"02/03/1975";0,5518
"02/04/1975";0,549
"02/05/1975";0,5396
"02/06/1975";0,54
"02/07/1975";0,5387
"02/10/1975";0,537
"02/11/1975";0,544
"02/13/1975";0,564
"02/14/1975";0,557
"02/18/1975";0,537
"02/19/1975";0,522
"02/20/1975";0,5225
"02/21/1975";0,5275
"02/24/1975";0,5205
"02/25/1975";0,523
"02/26/1975";0,5187
"02/27/1975";0,516
"02/28/1975";0,514
"03/03/1975";0,5075
"03/04/1975";0,5185
"03/05/1975";0,513
"03/06/1975";0,5145
"03/07/1975";0,522
"03/10/1975";0,523
"03/11/1975";0,523
"03/12/1975";0,516
