,ano_agricola,uf,produto,area_plantada_mil_ha,producao_mil_t,produtividade_mil_ha_mil_t
0,2001,BA,CAFE                                    ,0.0,490.0,0.0
1,2001,BA,CAFE                                    ,0.0,1700.0,0.0
2,2001,ES,CAFE                                    ,0.0,5650.0,0.0
3,2001,ES,CAFE                                    ,0.0,1900.0,0.0
4,2001,MG,CAFE                                    ,0.0,40.0,0.0
5,2001,MG,CAFE                                    ,0.0,14650.0,0.0
6,2001,MT,CAFE                                    ,0.0,310.0,0.0
7,2001,MT,CAFE                                    ,0.0,40.0,0.0
8,2001,NI,CAFE                                    ,0.0,50.0,0.0
9,2001,NI,CAFE                                    ,0.0,90.0,0.0
10,2001,PA,CAFE                                    ,0.0,250.0,0.0
11,2001,PR,CAFE                                    ,0.0,540.0,0.0
12,2001,RJ,CAFE                                    ,0.0,150.0,0.0
13,2001,RJ,CAFE                                    ,0.0,10.0,0.0
14,2001,RO,CAFE                                    ,0.0,1910.0,0.0
15,2001,SP,CAFE                                    ,0.0,3520.0,0.0
16,2002,BA,CAFE                                    ,0.0,550.0,0.0
17,2002,BA,CAFE                                    ,0.0,1750.0,0.0
18,2002,ES,CAFE                                    ,0.0,2500.0,0.0
19,2002,ES,CAFE                                    ,0.0,6825.0,0.0
20,2002,MG,CAFE                                    ,0.0,25100.0,0.0
21,2002,MG,CAFE                                    ,0.0,40.0,0.0
22,2002,MT,CAFE                                    ,0.0,60.0,0.0
23,2002,MT,CAFE                                    ,0.0,430.0,0.0
24,2002,NI,CAFE                                    ,0.0,160.0,0.0
25,2002,NI,CAFE                                    ,0.0,260.0,0.0
26,2002,PA,CAFE                                    ,0.0,310.0,0.0
27,2002,PR,CAFE                                    ,0.0,2340.0,0.0
28,2002,RJ,CAFE                                    ,0.0,15.0,0.0
29,2002,RJ,CAFE                                    ,0.0,240.0,0.0
30,2002,RO,CAFE                                    ,0.0,2100.0,0.0
31,2002,SP,CAFE                                    ,0.0,5800.0,0.0
32,2003,BA,CAFE                                    ,0.0,1410.0,0.0
33,2003,BA,CAFE                                    ,0.0,370.0,0.0
34,2003,ES,CAFE                                    ,0.0,5010.0,0.0
35,2003,ES,CAFE                                    ,0.0,1600.0,0.0
36,2003,MG,CAFE                                    ,0.0,30.0,0.0
37,2003,MG,CAFE                                    ,0.0,12020.0,0.0
38,2003,MT,CAFE                                    ,0.0,400.0,0.0
39,2003,MT,CAFE                                    ,0.0,30.0,0.0
40,2003,NI,CAFE                                    ,0.0,200.0,0.0
41,2003,NI,CAFE                                    ,0.0,120.0,0.0
42,2003,PA,CAFE                                    ,0.0,220.0,0.0
43,2003,PR,CAFE                                    ,0.0,1970.0,0.0
44,2003,RJ,CAFE                                    ,0.0,120.0,0.0
45,2003,RJ,CAFE                                    ,0.0,10.0,0.0
46,2003,RO,CAFE                                    ,0.0,2500.0,0.0
47,2003,SP,CAFE                                    ,0.0,2810.0,0.0
48,2004,BA,CAFE                                    ,0.0,402.0,0.0
49,2004,BA,CAFE                                    ,0.0,1877.0,0.0
50,2004,ES,CAFE                                    ,0.0,2295.0,0.0
51,2004,ES,CAFE                                    ,0.0,4500.0,0.0
52,2004,MG,CAFE                                    ,0.0,18747.0,0.0
53,2004,MG,CAFE                                    ,0.0,30.0,0.0
54,2004,MT,CAFE                                    ,0.0,30.0,0.0
55,2004,MT,CAFE                                    ,0.0,280.0,0.0
56,2004,NI,CAFE                                    ,0.0,355.0,0.0
57,2004,NI,CAFE                                    ,0.0,120.0,0.0
58,2004,PA,CAFE                                    ,0.0,220.0,0.0
59,2004,PR,CAFE                                    ,0.0,2526.0,0.0
60,2004,RJ,CAFE                                    ,0.0,10.0,0.0
61,2004,RJ,CAFE                                    ,0.0,250.0,0.0
62,2004,RO,CAFE                                    ,0.0,1760.0,0.0
63,2004,SP,CAFE                                    ,0.0,5870.0,0.0
64,2005,BA,CAFE                                    ,0.0,1407.0,0.0
65,2005,BA,CAFE                                    ,0.0,405.0,0.0
66,2005,ES,CAFE                                    ,0.0,2056.0,0.0
67,2005,ES,CAFE                                    ,0.0,6014.0,0.0
68,2005,MG,CAFE                                    ,0.0,30.0,0.0
69,2005,MG,CAFE                                    ,0.0,15189.0,0.0
70,2005,MT,CAFE                                    ,0.0,40.0,0.0
71,2005,MT,CAFE                                    ,0.0,270.0,0.0
72,2005,NI,CAFE                                    ,0.0,295.0,0.0
73,2005,NI,CAFE                                    ,0.0,180.0,0.0
74,2005,PA,CAFE                                    ,0.0,330.0,0.0
75,2005,PR,CAFE                                    ,0.0,1435.0,0.0
76,2005,RJ,CAFE                                    ,0.0,288.0,0.0
77,2005,RJ,CAFE                                    ,0.0,10.0,0.0
78,2005,RO,CAFE                                    ,0.0,1772.0,0.0
79,2005,SP,CAFE                                    ,0.0,3223.0,0.0
80,2006,BA,CAFE                                    ,0.0,526.0,0.0
81,2006,BA,CAFE                                    ,0.0,1725.0,0.0
82,2006,ES,CAFE                                    ,0.0,2128.0,0.0
83,2006,ES,CAFE                                    ,0.0,6881.0,0.0
84,2006,MG,CAFE                                    ,0.0,30.0,0.0
85,2006,MG,CAFE                                    ,0.0,21957.0,0.0
86,2006,MT,CAFE                                    ,0.0,225.0,0.0
87,2006,MT,CAFE                                    ,0.0,25.0,0.0
88,2006,NI,CAFE                                    ,0.0,207.0,0.0
89,2006,NI,CAFE                                    ,0.0,283.0,0.0
90,2006,PA,CAFE                                    ,0.0,280.0,0.0
91,2006,PR,CAFE                                    ,0.0,2248.0,0.0
92,2006,RJ,CAFE                                    ,0.0,255.0,0.0
93,2006,RJ,CAFE                                    ,0.0,9.0,0.0
94,2006,RO,CAFE                                    ,0.0,1263.0,0.0
95,2006,SP,CAFE                                    ,0.0,4470.0,0.0
96,2007,BA,CAFE                                    ,0.0,1686.0,0.0
97,2007,BA,CAFE                                    ,0.0,656.0,0.0
98,2007,ES,CAFE                                    ,0.0,8139.0,0.0
99,2007,ES,CAFE                                    ,0.0,2167.0,0.0
100,2007,MG,CAFE                                    ,0.0,36.0,0.0
101,2007,MG,CAFE                                    ,0.0,16436.0,0.0
102,2007,MT,CAFE                                    ,0.0,141.0,0.0
103,2007,MT,CAFE                                    ,0.0,11.0,0.0
104,2007,NI,CAFE                                    ,0.0,242.0,0.0
105,2007,NI,CAFE                                    ,0.0,162.0,0.0
106,2007,PA,CAFE                                    ,0.0,266.0,0.0
107,2007,PR,CAFE                                    ,0.0,1732.0,0.0
108,2007,RJ,CAFE                                    ,0.0,269.0,0.0
109,2007,RJ,CAFE                                    ,0.0,11.0,0.0
110,2007,RO,CAFE                                    ,0.0,1482.0,0.0
111,2007,SP,CAFE                                    ,0.0,2632.0,0.0
112,2008,BA,CAFE                                    ,103340.0,1566.0,15.2
113,2008,BA,CAFE                                    ,21693.0,576.0,26.6
114,2008,ES,CAFE                                    ,294217.0,7363.0,25.0
115,2008,ES,CAFE                                    ,195375.0,2867.0,14.7
116,2008,MG,CAFE                                    ,1756.0,36.0,20.5
117,2008,MG,CAFE                                    ,1046416.0,23545.0,22.5
118,2008,MT,CAFE                                    ,13582.0,126.0,9.3
119,2008,MT,CAFE                                    ,1425.0,12.0,8.4
120,2008,NI,CAFE                                    ,9798.0,213.0,21.7
121,2008,NI,CAFE                                    ,14696.0,286.0,19.5
122,2008,PA,CAFE                                    ,12917.0,233.0,18.0
123,2008,PR,CAFE                                    ,96920.0,2608.0,26.9
124,2008,RJ,CAFE                                    ,678.0,13.0,19.2
125,2008,RJ,CAFE                                    ,12884.0,253.0,19.6
126,2008,RO,CAFE                                    ,155972.0,1876.0,12.0
127,2008,SP,CAFE                                    ,188495.0,4420.0,23.4
128,2009,BA,CAFE                                    ,103461.0,1332.0,12.9
129,2009,BA,CAFE                                    ,22709.0,542.0,23.9
130,2009,ES,CAFE                                    ,184748.0,2603.0,14.1
131,2009,ES,CAFE                                    ,295050.0,7602.0,25.8
132,2009,MG,CAFE                                    ,983284.0,19598.0,19.9
133,2009,MG,CAFE                                    ,17447.0,282.0,16.2
