,ano_agricola,uf,produto,area_plantada_mil_ha,producao_mil_t,produtividade_mil_ha_mil_t
0,2017,AM,CAFE                                    ,495.0,7.75,15.7
1,2017,BA,CAFE                                    ,70820.5,1679.0,30.6
2,2017,ES,CAFE                                    ,192769.0,4432.5,22.4
3,2017,GO,CAFE                                    ,5516.0,190.0,34.4
4,2017,MG,CAFE                                    ,490381.0,12223.0,25.65
5,2017,MT,CAFE                                    ,4781.5,45.5,15.85
6,2017,NI,CAFE                                    ,6293.0,48.5,9.1
7,2017,PA,CAFE                                    ,460.0,6.0,13.0
8,2017,PR,CAFE                                    ,46070.0,1210.0,26.3
9,2017,RJ,CAFE                                    ,13053.0,349.0,26.7
10,2017,RO,CAFE                                    ,74255.0,1938.0,26.1
11,2017,SP,CAFE                                    ,200629.0,4412.0,22.0
12,2018,AM,CAFE                                    ,504.0,7.0,13.9
13,2018,BA,CAFE                                    ,66540.75,2224.875,38.3375
14,2018,ES,CAFE                                    ,193963.0,6562.0,33.0875
15,2018,GO,CAFE                                    ,6407.25,163.5,25.7
16,2018,MG,CAFE                                    ,507047.0,15726.25,28.9
17,2018,MT,CAFE                                    ,4910.625,52.375,16.1375
18,2018,NI,CAFE                                    ,3533.375,43.25,16.8625
19,2018,PA,CAFE                                    ,439.25,6.25,14.200000000000001
20,2018,PR,CAFE                                    ,37575.0,1002.5,26.7
21,2018,RJ,CAFE                                    ,13052.75,350.5,26.925
22,2018,RO,CAFE                                    ,68404.5,2119.75,31.0
23,2018,SP,CAFE                                    ,202501.5,6153.5,30.4
24,2019,BA,CAFE                                    ,54946.25,1549.5,31.4125
25,2019,ES,CAFE                                    ,196951.0,6669.875,31.45
26,2019,GO,CAFE                                    ,6793.25,248.0,36.475
27,2019,MG,CAFE                                    ,491988.5,12820.625,29.7125
28,2019,MT,CAFE                                    ,7092.6,95.2,15.280000000000001
29,2019,NI,CAFE                                    ,5027.875,71.0,15.1375
30,2019,PR,CAFE                                    ,37350.0,1000.75,26.8
31,2019,RJ,CAFE                                    ,11783.0,289.5,24.55
32,2019,RO,CAFE                                    ,63016.5,2128.75,33.775
33,2019,SP,CAFE                                    ,202045.25,4417.5,21.875
34,2020,BA,CAFE                                    ,53492.5,1995.8333333333333,41.01666666666667
35,2020,ES,CAFE                                    ,200143.5,6965.5,33.766666666666666
36,2020,GO,CAFE                                    ,6209.666666666667,253.0,40.699999999999996
37,2020,MG,CAFE                                    ,519366.6666666667,16583.833333333332,32.86666666666667
38,2020,MT,CAFE                                    ,9702.0,160.0,16.533333333333335
39,2020,NI,CAFE                                    ,4093.8333333333335,73.0,18.366666666666667
40,2020,PR,CAFE                                    ,35786.333333333336,935.0,26.133333333333336
