"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)",ano,mes,uf
16.0,"100,2","885,9","22,5","6,6","2,2",2010,1,DF
7.0,,,,"6,1",,2010,2,DF
19.0,"225,6","885,5","22,4","5,5","2,3",2010,3,DF
7.0,"217,4","886,7","21,5","5,8","2,2",2010,4,DF
4.0,25,"886,7","21,4","6,3",2,2010,5,DF
0.0,0,"889,3","19,5","6,6",,2010,6,DF
,0,890,"19,5","7,3",,2010,7,DF
,0,"889,3","20,7","6,4","2,9",2010,8,DF
0.0,0,"887,3","23,5","6,3","3,1",2010,9,DF
19.0,"168,6","885,4","22,9","6,7","2,2",2010,10,DF
22.0,"226,6","884,3","21,1","6,5","2,2",2010,11,DF
24.0,315,"883,1","21,5","6,9","2,2",2010,12,DF
18.0,120,"884,2","21,6",8,"2,7",2011,1,DF
20.0,159,"885,3","21,7","6,4",2,2011,2,DF
24.0,"231,2","884,8","21,4",6,"2,3",2011,3,DF
7.0,"59,8","886,7","21,5","5,8","2,5",2011,4,DF
2.0,"12,2","887,5","20,1","6,1","2,4",2011,5,DF
2.0,"3,8","888,5","19,3","6,5","2,3",2011,6,DF
0.0,0,"888,8","19,7","7,5","2,7",2011,7,DF
0.0,0,"888,5","22,2","7,3","2,7",2011,8,DF
2.0,"6,4","888,4","23,2","7,1",3,2011,9,DF
24.0,"251,6","885,3","20,6","6,6","2,4",2011,10,DF
19.0,"320,8",885,"20,7","6,7","2,6",2011,11,DF
24.0,"293,8","884,8","20,8","7,7","2,4",2011,12,DF
25.0,"248,8","885,6","20,3","7,3","2,3",2012,1,DF
14.0,"104,8","885,9","21,3","6,1","2,3",2012,2,DF
17.0,"182,6","886,4","21,7","5,5","2,1",2012,3,DF
10.0,110,"886,4","22,1","5,6","2,1",2012,4,DF
9.0,"40,2","888,3","19,4","5,9","2,5",2012,5,DF
2.0,"2,4","889,1","20,2","5,5","2,3",2012,6,DF
1.0,",2","889,2","19,7","7,4","2,5",2012,7,DF
