mapas,semSeca,s0s4,s1s4,s2s4,s3s4,s4,estado
Junho de 2025,"36,27","63,73","19,73",0,0,0,Acre
Maio de 2025,"36,28","63,72","19,84",0,0,0,Acre
Abril de 2025,"59,72","40,28","17,53",0,0,0,Acre
Março de 2025,"59,71","40,29","17,55",0,0,0,Acre
Fevereiro de 2025,0,100,"31,46",0,0,0,Acre
Janeiro de 2025,0,100,100,"28,42",0,0,Acre
Dezembro de 2024,0,100,100,"79,96",0,0,Acre
Novembro de 2024,0,100,100,100,0,0,Acre
Outubro de 2024,0,100,100,100,"91,57",0,Acre
Setembro de 2024,0,100,100,100,"91,57",0,Acre
Agosto de 2024,0,100,100,100,"76,07",0,Acre
Julho de 2024,0,100,100,"75,15","14,42",0,Acre
Junho de 2024,0,100,100,"44,31",0,0,Acre
Maio de 2024,0,100,"69,1",0,0,0,Acre
Abril de 2024,"55,74","44,26","16,03",0,0,0,Acre
Março de 2024,"72,97","27,03","16,03","2,8",0,0,Acre
Fevereiro de 2024,"54,65","45,35","23,36","11,09",0,0,Acre
Janeiro de 2024,0,100,100,"26,4","1,38",0,Acre
Dezembro de 2023,0,100,100,"71,27","7,78",0,Acre
Novembro de 2023,0,100,100,"46,87","7,78",0,Acre
Outubro de 2023,0,100,100,"39,52","5,78",0,Acre
Setembro de 2023,0,100,"66,65","1,87",0,0,Acre
Agosto de 2023,"35,92","64,08","24,82","1,87",0,0,Acre
Julho de 2023,"37,39","62,61","24,82","1,87",0,0,Acre
Junho de 2023,"46,37","53,63","24,82","1,87",0,0,Acre
Maio de 2023,"48,03","51,97","24,82","1,87",0,0,Acre
Abril de 2023,"43,08","56,92","35,04","1,87",0,0,Acre
Março de 2023,"42,93","57,07","35,04","1,87",0,0,Acre
Fevereiro de 2023,0,100,"92,59","1,87",0,0,Acre
Janeiro de 2023,0,100,"92,59","17,31",0,0,Acre
Dezembro de 2022,0,100,"92,59","17,1",0,0,Acre
Novembro de 2022,0,100,"92,59","17,1",0,0,Acre
Junho de 2025,"38,8","61,2","22,77",0,0,0,Alagoas
Maio de 2025,"22,98","77,02","60,12","22,55",0,0,Alagoas
Abril de 2025,0,100,"60,12","22,53",0,0,Alagoas
Março de 2025,"23,27","76,73","28,42","22,32",0,0,Alagoas
Fevereiro de 2025,"23,34","76,66","27,63",0,0,0,Alagoas
Janeiro de 2025,"10,35","89,65","72,31",0,0,0,Alagoas
Dezembro de 2024,0,100,"87,35","34,9",0,0,Alagoas
Novembro de 2024,0,100,"81,66","32,06",0,0,Alagoas
Outubro de 2024,"15,29","84,71","46,36","5,5",0,0,Alagoas
Setembro de 2024,"26,94","73,06","16,43",0,0,0,Alagoas
Agosto de 2024,"53,51","46,49",0,0,0,0,Alagoas
Julho de 2024,"70,99","29,01",0,0,0,0,Alagoas
Junho de 2024,100,0,0,0,0,0,Alagoas
Maio de 2024,100,0,0,0,0,0,Alagoas
Abril de 2024,"95,28","4,72",0,0,0,0,Alagoas
Março de 2024,"50,4","49,6","4,38",0,0,0,Alagoas
Fevereiro de 2024,"42,01","57,99","4,51",0,0,0,Alagoas
Janeiro de 2024,"42,01","57,99","31,46",0,0,0,Alagoas
Dezembro de 2023,"42,01","57,99","31,46","15,96",0,0,Alagoas
Novembro de 2023,"50,46","49,54","31,47","15,95",0,0,Alagoas
Outubro de 2023,"56,33","43,67","31,26",0,0,0,Alagoas
Setembro de 2023,"65,11","34,89","3,67",0,0,0,Alagoas
Agosto de 2023,"68,51","31,49",0,0,0,0,Alagoas
Julho de 2023,"88,53","11,47",0,0,0,0,Alagoas
Junho de 2023,"88,53","11,47",0,0,0,0,Alagoas
Maio de 2023,"68,54","31,46",0,0,0,0,Alagoas
Abril de 2023,"66,6","33,4",0,0,0,0,Alagoas
Março de 2023,"66,84","33,16",0,0,0,0,Alagoas
Fevereiro de 2023,"66,84","33,16",0,0,0,0,Alagoas
Janeiro de 2023,"81,59","18,41",0,0,0,0,Alagoas
Dezembro de 2022,100,0,0,0,0,0,Alagoas
Novembro de 2022,100,0,0,0,0,0,Alagoas
Outubro de 2022,100,0,0,0,0,0,Alagoas
Setembro de 2022,100,0,0,0,0,0,Alagoas
Agosto de 2022,100,0,0,0,0,0,Alagoas
Julho de 2022,100,0,0,0,0,0,Alagoas
Junho de 2022,"98,48","1,52",0,0,0,0,Alagoas
Maio de 2022,"81,57","18,43",0,0,0,0,Alagoas
Abril de 2022,"59,99","40,01","16,93",0,0,0,Alagoas
Março de 2022,"59,98","40,02","16,93",0,0,0,Alagoas
Fevereiro de 2022,"55,36","44,64","17,68",0,0,0,Alagoas
Janeiro de 2022,"55,36","44,64","17,68",0,0,0,Alagoas
Dezembro de 2021,"55,22","44,78","17,68",0,0,0,Alagoas
Novembro de 2021,"28,41","71,59","45,01","16,81",0,0,Alagoas
Outubro de 2021,"28,41","71,59",45,"16,74",0,0,Alagoas
Setembro de 2021,"36,12","63,88","44,98","16,77",0,0,Alagoas
Agosto de 2021,"43,54","56,46","44,98","16,77",0,0,Alagoas
Julho de 2021,"42,39","57,61","45,4","16,77",0,0,Alagoas
Junho de 2021,"42,39","57,61","46,48","22,76",0,0,Alagoas
Maio de 2021,"38,96","61,04","50,25","22,76",0,0,Alagoas
Abril de 2021,"36,58","63,42","50,25","33,95",0,0,Alagoas
Março de 2021,"15,84","84,16","50,34","33,95",0,0,Alagoas
Fevereiro de 2021,0,100,"50,24","9,67",0,0,Alagoas
Janeiro de 2021,"0,28","99,72","23,7","6,71",0,0,Alagoas
Dezembro de 2020,0,100,"14,12",0,0,0,Alagoas
Novembro de 2020,0,100,"5,83",0,0,0,Alagoas
Outubro de 2020,0,100,"5,83",0,0,0,Alagoas
Setembro de 2020,"22,72","77,28","6,15",0,0,0,Alagoas
Agosto de 2020,"42,69","57,31",0,0,0,0,Alagoas
Julho de 2020,"70,78","29,22",0,0,0,0,Alagoas
Junho de 2020,"59,53","40,47",0,0,0,0,Alagoas
Maio de 2020,"17,82","82,18",0,0,0,0,Alagoas
Abril de 2020,0,100,"2,17",0,0,0,Alagoas
Março de 2020,"0,01","99,99","32,21",0,0,0,Alagoas
Fevereiro de 2020,0,100,"72,36","29,2",0,0,Alagoas
Janeiro de 2020,0,100,"72,51","28,94",0,0,Alagoas
Dezembro 2019,0,100,"42,29","27,54",0,0,Alagoas
Novembro de 2019,0,100,"42,29","27,54",0,0,Alagoas
Outubro de 2019,51,49,"35,61",0,0,0,Alagoas
Setembro de 2019,"63,66","36,34","22,29",0,0,0,Alagoas
Agosto de 2019,"63,6","36,4","22,31",0,0,0,Alagoas
Julho de 2019,"46,77","53,23","30,94",0,0,0,Alagoas
Junho de 2019,"46,77","53,23","44,79","29,08",0,0,Alagoas
Maio de 2019,"28,73","71,27","51,99","39,91",0,0,Alagoas
Abril de 2019,"28,73","71,27","51,99","39,9",0,0,Alagoas
Março de 2019,"27,2","72,8","60,12","45,37",0,0,Alagoas
Fevereiro de 2019,"7,13","92,87","67,17","59,07","38,73",0,Alagoas
Janeiro de 2019,"7,13","92,87","67,17","59,07","40,52",0,Alagoas
Dezembro de 2018,0,100,"72,62","54,33","40,03",0,Alagoas
Novembro de 2018,0,100,"72,8","54,32","40,89",0,Alagoas
Outubro de 2018,0,100,"72,8","54,32","40,89",0,Alagoas
Setembro de 2018 ,0,100,"60,73","40,05","31,93",0,Alagoas
Agosto de 2018,"32,18","67,82","43,79","33,97","24,58",0,Alagoas
Julho de 2018,"32,18","67,82","43,79","33,99","18,51",0,Alagoas
Junho de 2018,"42,84","57,16","36,03","30,41",0,0,Alagoas
Maio de 2018,"43,37","56,63","34,4","15,82",0,0,Alagoas
Abril de 2018,"43,33","56,67","34,4","15,82",0,0,Alagoas
Março de 2018,"31,21","68,79","35,19","13,92","1,77",0,Alagoas
Fevereiro de 2018,"64,48","35,52","14,21","6,2",0,0,Alagoas
Janeiro de 2018,"64,49","35,51","16,24","6,7",0,0,Alagoas
Dezembro de 2017,"64,17","35,83","7,09","1,7",0,0,Alagoas
Novembro de 2017,"75,08","24,92","1,48",0,0,0,Alagoas
Outubro de 2017,"77,54","22,46","1,48",0,0,0,Alagoas
Setembro de 2017,90,10,"1,53",0,0,0,Alagoas
Agosto de 2017,"87,22","12,78","0,09",0,0,0,Alagoas
Julho de 2017,"78,76","21,24","8,8","0,03",0,0,Alagoas
Junho de 2017,0,100,"14,59","4,54",0,0,Alagoas
Maio de 2017,0,100,"14,59","4,54",0,0,Alagoas
Abril de 2017,0,100,100,100,"61,1","42,29",Alagoas
Março de 2017,0,100,100,100,100,"61,7",Alagoas
Fevereiro de 2017,0,100,100,100,100,"61,7",Alagoas
Janeiro de 2017,0,100,100,100,100,"61,7",Alagoas
Dezembro de 2016,0,100,100,100,100,"61,64",Alagoas
Novembro de 2016,0,100,100,100,100,"61,39",Alagoas
Outubro de 2016,0,100,100,100,"84,92","45,93",Alagoas
Setembro de 2016,0,100,100,"91,24","76,38","32,19",Alagoas
Agosto de 2016,0,100,"91,37","79,1","56,1",0,Alagoas
Julho de 2016,0,100,"77,46","53,94","36,47",0,Alagoas
Junho de 2016,"10,08","89,92","84,95","52,33","26,89",0,Alagoas
Maio de 2016,"10,1","89,9","84,57","52,94","26,77",0,Alagoas
Abril de 2016,"26,25","73,75","41,72","26,03","4,93",0,Alagoas
Março de 2016,"18,28","81,72","73,17","16,13","3,08",0,Alagoas
Fevereiro de 2016,"40,31","59,69","34,17","17,78","3,57",0,Alagoas
Janeiro de 2016,"45,13","54,87","34,29","17,78","3,96",0,Alagoas
Dezembro de 2015,0,100,"88,05","61,7","33,96","18,55",Alagoas
Novembro de 2015,0,100,100,"55,96","28,9","4,27",Alagoas
Outubro de 2015,0,100,"72,02","39,74","27,97","5,11",Alagoas
Setembro de 2015,0,100,"43,88","34,85","22,78","3,44",Alagoas
Agosto de 2015,0,100,"36,74","19,7","12,47","3,44",Alagoas
Julho de 2015,"23,07","76,93","37,59","20,16","0,38",0,Alagoas
Junho de 2015,"39,3","60,7","44,17","30,15","1,05","0,05",Alagoas
Maio de 2015,"12,79","87,21","57,14","32,03","1,59","0,07",Alagoas
Abril de 2015,"13,21","86,79","72,56","35,25","1,38",0,Alagoas
Março de 2015,"52,71","47,29","18,14","7,47","1,75","0,64",Alagoas
Fevereiro de 2015,"27,17","72,83","35,45","7,7",0,0,Alagoas
Janeiro de 2015,"0,01","99,99","35,66","2,09",0,0,Alagoas
Dezembro de 2014,"58,49","41,51","12,39","0,13",0,0,Alagoas
Novembro de 2014,"66,12","33,88","11,75","0,07",0,0,Alagoas
