semSeca,s0s4,s1s4,s2s4,s3s4,s4,mes,ano,uf
"36,27","63,73","19,73",0,0,0,6,2025,AC
"36,28","63,72","19,84",0,0,0,5,2025,AC
"59,72","40,28","17,53",0,0,0,4,2025,AC
"59,71","40,29","17,55",0,0,0,3,2025,AC
0,100,"31,46",0,0,0,2,2025,AC
0,100,100,"28,42",0,0,1,2025,AC
0,100,100,"79,96",0,0,12,2024,AC
0,100,100,100,0,0,11,2024,AC
0,100,100,100,"91,57",0,10,2024,AC
0,100,100,100,"91,57",0,9,2024,AC
0,100,100,100,"76,07",0,8,2024,AC
0,100,100,"75,15","14,42",0,7,2024,AC
0,100,100,"44,31",0,0,6,2024,AC
0,100,"69,1",0,0,0,5,2024,AC
"55,74","44,26","16,03",0,0,0,4,2024,AC
"72,97","27,03","16,03","2,8",0,0,3,2024,AC
"54,65","45,35","23,36","11,09",0,0,2,2024,AC
0,100,100,"26,4","1,38",0,1,2024,AC
0,100,100,"71,27","7,78",0,12,2023,AC
0,100,100,"46,87","7,78",0,11,2023,AC
0,100,100,"39,52","5,78",0,10,2023,AC
0,100,"66,65","1,87",0,0,9,2023,AC
"35,92","64,08","24,82","1,87",0,0,8,2023,AC
"37,39","62,61","24,82","1,87",0,0,7,2023,AC
"46,37","53,63","24,82","1,87",0,0,6,2023,AC
"48,03","51,97","24,82","1,87",0,0,5,2023,AC
"43,08","56,92","35,04","1,87",0,0,4,2023,AC
"42,93","57,07","35,04","1,87",0,0,3,2023,AC
0,100,"92,59","1,87",0,0,2,2023,AC
0,100,"92,59","17,31",0,0,1,2023,AC
0,100,"92,59","17,1",0,0,12,2022,AC
0,100,"92,59","17,1",0,0,11,2022,AC
"38,8","61,2","22,77",0,0,0,6,2025,AL
"22,98","77,02","60,12","22,55",0,0,5,2025,AL
0,100,"60,12","22,53",0,0,4,2025,AL
"23,27","76,73","28,42","22,32",0,0,3,2025,AL
"23,34","76,66","27,63",0,0,0,2,2025,AL
"10,35","89,65","72,31",0,0,0,1,2025,AL
0,100,"87,35","34,9",0,0,12,2024,AL
0,100,"81,66","32,06",0,0,11,2024,AL
"15,29","84,71","46,36","5,5",0,0,10,2024,AL
"26,94","73,06","16,43",0,0,0,9,2024,AL
"53,51","46,49",0,0,0,0,8,2024,AL
"70,99","29,01",0,0,0,0,7,2024,AL
100,0,0,0,0,0,6,2024,AL
100,0,0,0,0,0,5,2024,AL
"95,28","4,72",0,0,0,0,4,2024,AL
"50,4","49,6","4,38",0,0,0,3,2024,AL
"42,01","57,99","4,51",0,0,0,2,2024,AL
"42,01","57,99","31,46",0,0,0,1,2024,AL
"42,01","57,99","31,46","15,96",0,0,12,2023,AL
"50,46","49,54","31,47","15,95",0,0,11,2023,AL
"56,33","43,67","31,26",0,0,0,10,2023,AL
"65,11","34,89","3,67",0,0,0,9,2023,AL
"68,51","31,49",0,0,0,0,8,2023,AL
"88,53","11,47",0,0,0,0,7,2023,AL
"88,53","11,47",0,0,0,0,6,2023,AL
"68,54","31,46",0,0,0,0,5,2023,AL
"66,6","33,4",0,0,0,0,4,2023,AL
