,Ano,Mes,Value
0,1973,1,0.6672
1,1973,2,0.6660999999999999
2,1973,3,0.67315
3,1973,4,0.6629666666666667
4,1973,5,0.6591750000000001
5,1973,6,0.65
6,1973,7,0.6549333333333333
7,1973,8,0.6550363636363636
8,1973,9,0.6629214285714287
9,1973,10,0.6505733333333333
10,1973,11,0.6453875
11,1973,12,0.6673266666666666
12,1974,1,0.7123272727272728
13,1974,2,0.7244333333333333
14,1974,3,0.7133761904761905
15,1974,4,0.6867190476190476
16,1974,5,0.7089863636363636
17,1974,6,0.69274
18,1974,7,0.6930238095238095
19,1974,8,0.6504739130434782
20,1974,9,0.580465
21,1974,10,0.6127952380952381
22,1974,11,0.640095238095238
23,1974,12,0.6194235294117647
24,1975,1,0.5833333333333334
25,1975,2,0.5746789473684211
26,1975,3,0.5716545454545454
27,1975,4,0.539905
28,1975,5,0.5817285714285715
29,1975,6,0.591895
30,1975,7,0.6590130434782608
31,1975,8,0.7796857142857143
32,1975,9,0.750275
33,1975,10,0.7390041666666667
34,1975,11,0.7151444444444445
35,1975,12,0.8001944444444445
36,1976,1,1.1404227272727274
37,1976,2,1.1543277777777776
38,1976,3,1.1678190476190475
39,1976,4,1.30079
40,1976,5,1.347715
41,1976,6,1.4702761904761905
42,1976,7,1.3575227272727273
43,1976,8,1.527772727272727
44,1976,9,1.498125
45,1976,10,1.6375380952380953
46,1976,11,1.6583125
47,1976,12,1.847361904761905
48,1977,1,2.227940909090909
49,1977,2,2.406416666666667
50,1977,3,2.8107
51,1977,4,2.8619238095238098
52,1977,5,2.6567210526315788
53,1977,6,2.4900409090909092
54,1977,7,2.2139727272727274
55,1977,8,2.099785
56,1977,9,1.963059090909091
57,1977,10,1.8800999999999999
58,1977,11,2.18465
59,1977,12,2.006109523809524
60,1978,1,1.784835
61,1978,2,1.7353352941176472
62,1978,3,1.6022869565217392
63,1978,4,1.659461111111111
64,1978,5,1.624985
65,1978,6,1.6074833333333334
66,1978,7,1.3021449999999999
67,1978,8,1.5013727272727273
68,1978,9,1.54663
69,1978,10,1.556859090909091
70,1978,11,1.470804761904762
71,1978,12,1.404885
72,1979,1,1.4357250000000001
73,1979,2,1.453585
74,1979,3,1.499652380952381
75,1979,4,1.57785
76,1979,5,1.6366695652173913
77,1979,6,1.927609090909091
78,1979,7,1.9327285714285714
79,1979,8,1.9606000000000001
80,1979,9,1.959695238095238
81,1979,10,2.0107619047619045
82,1979,11,2.0235142857142856
83,1979,12,1.8252190476190475
84,1980,1,1.6498095238095238
85,1980,2,1.675515
86,1980,3,1.754931818181818
87,1980,4,1.7570299999999999
88,1980,5,1.8423333333333334
89,1980,6,1.7210315789473682
90,1980,7,1.6084130434782609
91,1980,8,1.464640909090909
92,1980,9,1.4368
93,1980,10,1.3947916666666667
94,1980,11,1.3522238095238095
95,1980,12,1.3602777777777777
96,1981,1,1.233452380952381
97,1981,2,1.2129526315789474
98,1981,3,1.2451666666666665
99,1981,4,1.2448571428571429
100,1981,5,1.204125
101,1981,6,1.0578190476190474
102,1981,7,1.1715454545454547
103,1981,8,1.1473380952380954
104,1981,9,1.2142608695652175
105,1981,10,1.2971304347826087
106,1981,11,1.3362631578947368
107,1981,12,1.3307
108,1982,1,1.388840909090909
109,1982,2,1.4376941176470588
110,1982,3,1.328952380952381
111,1982,4,1.3643772727272727
112,1982,5,1.3209250000000001
113,1982,6,1.357555
114,1982,7,1.2810227272727273
115,1982,8,1.3402
116,1982,9,1.3691363636363636
117,1982,10,1.3896428571428572
118,1982,11,1.3889526315789473
119,1982,12,1.3312045454545454
120,1983,1,1.280547619047619
121,1983,2,1.273861111111111
122,1983,3,1.2582954545454546
123,1983,4,1.2640761904761906
124,1983,5,1.312578947368421
125,1983,6,1.2754863636363636
126,1983,7,1.2947391304347826
127,1983,8,1.3053
128,1983,9,1.3261363636363637
129,1983,10,1.3786190476190476
130,1983,11,1.4032333333333333
131,1983,12,1.3947380952380952
132,1984,1,1.4277000000000002
133,1984,2,1.447255
134,1984,3,1.4507954545454547
135,1984,4,1.4759
136,1984,5,1.4686818181818182
137,1984,6,1.4524347826086956
138,1984,7,1.4157380952380951
139,1984,8,1.4631136363636363
140,1984,9,1.4001904761904762
141,1984,10,1.391159090909091
142,1984,11,1.4145285714285716
143,1984,12,1.413125
144,1985,1,1.4703181818181819
145,1985,2,1.4374222222222222
146,1985,3,1.4476666666666667
147,1985,4,1.4549571428571428
148,1985,5,1.4630238095238095
149,1985,6,1.45625
150,1985,7,1.3839523809523808
151,1985,8,1.3882043478260868
152,1985,9,1.408578947368421
153,1985,10,1.4917142857142858
154,1985,11,1.54095
155,1985,12,1.8978249999999999
156,1986,1,2.1944285714285714
157,1986,2,2.2361263157894737
158,1986,3,2.261047619047619
159,1986,4,2.1788238095238093
160,1986,5,2.0445
161,1986,6,1.900325
162,1986,7,1.952586956521739
163,1986,8,1.9150190476190478
164,1986,9,2.0482500000000003
165,1986,10,1.8706200000000002
166,1986,11,1.7217
167,1986,12,1.6120789473684212
168,1987,1,1.215
169,1987,2,1.2017052631578948
170,1987,3,1.081904761904762
171,1987,4,1.160347619047619
172,1987,5,1.209725
173,1987,6,1.094704761904762
174,1987,7,1.0790681818181818
175,1987,8,1.1129095238095237
176,1987,9,1.160608695652174
177,1987,10,1.1945434782608697
178,1987,11,1.2335277777777778
179,1987,12,1.2489285714285714
180,1988,1,1.2885952380952381
181,1988,2,1.3373944444444446
182,1988,3,1.3274761904761905
183,1988,4,1.3231142857142857
184,1988,5,1.3088250000000001
185,1988,6,1.3325454545454545
186,1988,7,1.3239545454545454
187,1988,8,1.2585347826086957
188,1988,9,1.288318181818182
189,1988,10,1.270975
190,1988,11,1.278965
191,1988,12,1.3985454545454545
192,1989,1,1.2550714285714286
193,1989,2,1.2065444444444444
194,1989,3,1.231282608695652
195,1989,4,1.278822222222222
196,1989,5,1.238025
197,1989,6,1.1230333333333333
198,1989,7,0.9368636363636363
199,1989,8,0.8996363636363637
200,1989,9,0.9357857142857142
201,1989,10,0.8807727272727273
202,1989,11,0.847675
203,1989,12,0.894525
204,1990,1,0.83925
205,1990,2,0.8921049999999999
206,1990,3,0.9105238095238095
207,1990,4,0.9376611111111112
208,1990,5,0.9389782608695652
209,1990,6,0.8924545454545455
210,1990,7,0.9010714285714285
211,1990,8,0.9478565217391304
212,1990,9,0.9322142857142857
213,1990,10,0.9205714285714286
214,1990,11,0.87165
215,1990,12,0.9064
216,1991,1,0.8593181818181819
217,1991,2,0.8932333333333333
218,1991,3,0.9122999999999999
219,1991,4,0.8806761904761904
220,1991,5,0.87375
221,1991,6,0.8529199999999999
222,1991,7,0.8363095238095238
223,1991,8,0.8362347826086957
224,1991,9,0.878725
225,1991,10,0.8385454545454546
226,1991,11,0.8274476190476191
227,1991,12,0.8137380952380953
228,1992,1,0.7222045454545455
229,1992,2,0.67198
230,1992,3,0.7048863636363637
231,1992,4,0.6447190476190476
232,1992,5,0.6351315789473684
233,1992,6,0.6150619047619047
234,1992,7,0.6208260869565217
235,1992,8,0.568795238095238
236,1992,9,0.5947272727272727
237,1992,10,0.653875
238,1992,11,0.675038888888889
239,1992,12,0.736675
240,1993,1,0.6561136363636364
241,1993,2,0.6690333333333334
242,1993,3,0.6421666666666667
243,1993,4,0.6066409090909091
244,1993,5,0.64455
245,1993,6,0.636145
246,1993,7,0.7097272727272728
247,1993,8,0.7147478260869565
248,1993,9,0.7632727272727272
249,1993,10,0.7364761904761905
250,1993,11,0.7194166666666667
251,1993,12,0.7256818181818182
252,1994,1,1.0482857142857143
253,1994,2,1.0505833333333332
254,1994,3,0.9978181818181817
255,1994,4,1.00616
256,1994,5,1.3353684210526315
257,1994,6,1.4535545454545455
258,1994,7,1.8621739130434782
259,1994,8,1.737440909090909
260,1994,9,1.9255909090909091
261,1994,10,1.6837619047619048
262,1994,11,1.515155
263,1994,12,1.6249761904761904
264,1995,1,1.6010238095238094
265,1995,2,1.6306777777777777
266,1995,3,1.650108695652174
267,1995,4,1.6217705882352942
268,1995,5,1.55125
269,1995,6,1.4445625
270,1995,7,1.4398409090909092
271,1995,8,1.4824363636363636
272,1995,9,1.339357142857143
273,1995,10,1.3614772727272728
274,1995,11,1.2741200000000001
275,1995,12,1.1766052631578947
276,1996,1,1.1281190476190477
277,1996,2,1.1695600000000002
278,1996,3,1.1623809523809523
279,1996,4,1.176225
280,1996,5,1.1797727272727272
281,1996,6,1.185735
282,1996,7,1.0969
283,1996,8,1.2267545454545454
284,1996,9,1.0929
285,1996,10,1.1487727272727273
286,1996,11,1.15583
287,1996,12,1.1323095238095238
288,1997,1,1.4687142857142856
289,1997,2,1.7908368421052632
290,1997,3,1.7449545454545456
291,1997,4,2.0036666666666667
292,1997,5,2.3433333333333333
293,1997,6,1.86708
294,1997,7,1.7205869565217393
295,1997,8,1.7797428571428573
296,1997,9,1.7541499999999999
297,1997,10,1.6210200000000001
298,1997,11,1.714278947368421
299,1997,12,1.743342105263158
300,1998,1,1.539475
301,1998,2,1.5108842105263158
302,1998,3,1.4205238095238095
303,1998,4,1.3987954545454544
304,1998,5,1.3464500000000001
305,1998,6,1.2372
306,1998,7,1.1755909090909091
307,1998,8,1.2053904761904763
308,1998,9,1.1595434782608696
309,1998,10,1.1428863636363635
310,1998,11,1.1893833333333332
311,1998,12,1.2309761904761904
312,1999,1,1.0758809523809523
313,1999,2,1.0524058823529412
314,1999,3,1.066142857142857
315,1999,4,1.014890909090909
316,1999,5,1.1166
317,1999,6,1.0394700000000001
318,1999,7,0.9865227272727272
319,1999,8,0.9615478260869565
320,1999,9,0.9162608695652175
321,1999,10,1.0158333333333334
322,1999,11,1.1272666666666666
323,1999,12,1.1624999999999999
324,2000,1,1.0454
325,2000,2,0.9953722222222221
326,2000,3,1.0154565217391305
327,2000,4,0.9520833333333333
328,2000,5,0.95225
329,2000,6,0.8834347826086956
330,2000,7,0.939695652173913
331,2000,8,0.8203772727272728
332,2000,9,0.845675
333,2000,10,0.8634090909090909
334,2000,11,0.7959904761904762
335,2000,12,0.7599750000000001
336,2001,1,0.6371052631578947
337,2001,2,0.60687
338,2001,3,0.5944285714285714
339,2001,4,0.5791833333333334
340,2001,5,0.5987173913043479
341,2001,6,0.5652409090909091
342,2001,7,0.5453333333333333
343,2001,8,0.5343478260869565
344,2001,9,0.5291052631578946
345,2001,10,0.47888095238095235
346,2001,11,0.4976052631578947
347,2001,12,0.5121944444444444
348,2002,1,0.4915952380952381
349,2002,2,0.49554444444444445
350,2002,3,0.5507500000000001
351,2002,4,0.5392571428571429
352,2002,5,0.5233409090909091
353,2002,6,0.50103
354,2002,7,0.4980714285714286
355,2002,8,0.5011347826086956
356,2002,9,0.566775
357,2002,10,0.6164545454545455
358,2002,11,0.6115190476190476
359,2002,12,0.581325
360,2003,1,0.6515500000000001
361,2003,2,0.61805
362,2003,3,0.6041521739130434
363,2003,4,0.62801
364,2003,5,0.6372380952380953
365,2003,6,0.603205
366,2003,7,0.6244782608695651
367,2003,8,0.6227380952380953
368,2003,9,0.640025
369,2003,10,0.62298
370,2003,11,0.6089473684210527
371,2003,12,0.636
372,2004,1,0.7603095238095238
373,2004,2,0.7483894736842105
374,2004,3,0.7579285714285714
375,2004,4,0.7103047619047619
376,2004,5,0.7426
377,2004,6,0.7506857142857143
378,2004,7,0.7245909090909092
379,2004,8,0.7239136363636364
380,2004,9,0.790195652173913
381,2004,10,0.7614761904761904
382,2004,11,0.8452375
383,2004,12,0.9041136363636363
384,2005,1,1.056904761904762
385,2005,2,1.1413111111111112
386,2005,3,1.2202142857142857
387,2005,4,1.1739095238095238
388,2005,5,1.1473947368421051
389,2005,6,1.0817772727272728
390,2005,7,1.0447608695652173
391,2005,8,1.0191409090909092
392,2005,9,0.9833409090909092
393,2005,10,1.0567380952380954
394,2005,11,1.03939
395,2005,12,1.0320952380952382
396,2006,1,1.16965
397,2006,2,1.0936277777777776
398,2006,3,1.0744166666666668
399,2006,4,1.0954117647058823
400,2006,5,1.040675
401,2006,6,1.0216958333333332
402,2006,7,1.0197272727272728
