,Preco,Ano,Mes
0,1.7997,2000,1
1,1.7764,2000,2
2,1.7431,2000,3
3,1.7833,2000,4
4,1.8382,2000,5
5,1.8079,2000,6
6,1.8106,2000,7
7,1.8056,2000,8
8,1.8438,2000,9
9,1.8764,2000,10
10,1.9441,2000,11
11,1.9678,2000,12
12,1.9475,2001,1
13,1.9812,2001,2
14,2.0864,2001,3
15,2.1573,2001,4
16,2.3384,2001,5
17,2.4079,2001,6
18,2.5538,2001,7
19,2.5005,2001,8
20,2.6986,2001,9
21,2.779,2001,10
22,2.5299,2001,11
23,2.384,2001,12
24,2.3705,2002,1
25,2.438,2002,2
26,2.3542,2002,3
27,2.318,2002,4
28,2.5117,2002,5
29,2.7181,2002,6
30,2.8455,2002,7
31,3.1912,2002,8
32,3.1506,2002,9
33,3.8567,2002,10
34,3.6797,2002,11
35,3.7342,2002,12
36,3.2983,2003,1
37,3.658,2003,2
38,3.3958,2003,3
39,3.1154,2003,4
40,2.9306,2003,5
41,2.857,2003,6
42,2.8554,2003,7
43,2.993,2003,8
44,2.8898,2003,9
45,2.8268,2003,10
46,2.9418,2003,11
47,2.9293,2003,12
48,2.8126,2004,1
49,2.9085,2004,2
50,2.9013,2004,3
51,2.9064,2004,4
52,3.0982,2004,5
53,3.138,2004,6
54,3.0215,2004,7
55,3.0235,2004,8
56,2.9042,2004,9
57,2.8623,2004,10
58,2.7991,2004,11
59,2.7508,2004,12
60,2.7074,2005,1
61,2.5762,2005,2
62,2.7621,2005,3
63,2.5971,2005,4
64,2.4715,2005,5
65,2.4455,2005,6
66,2.3427,2005,7
67,2.3422,2005,8
68,2.3012,2005,9
69,2.2511,2005,10
70,2.199,2005,11
71,2.2957,2005,12
72,2.2747,2006,1
73,2.1375,2006,2
74,2.1215,2006,3
75,2.1426,2006,4
76,2.1774,2006,5
77,2.2845,2006,6
78,2.213,2006,7
79,2.148,2006,8
80,2.154,2006,9
81,2.1419,2006,10
82,2.1537,2006,11
83,2.147,2006,12
84,2.1407,2007,1
85,2.0896,2007,2
86,2.0909,2007,3
87,2.0231,2007,4
88,1.9922,2007,5
89,1.9097,2007,6
90,1.8684,2007,7
91,2.0043,2007,8
92,1.9031,2007,9
93,1.8078,2007,10
94,1.7378,2007,11
95,1.7959,2007,12
96,1.745,2008,1
97,1.7541,2008,2
98,1.6947,2008,3
99,1.6822,2008,4
100,1.6601,2008,5
101,1.6368,2008,6
102,1.591,2008,7
103,1.6389,2008,8
104,1.8125,2008,9
105,2.1551,2008,10
106,2.28,2008,11
107,2.369,2008,12
108,2.3803,2009,1
109,2.268,2009,2
110,2.3012,2009,3
111,2.1992,2009,4
112,2.0762,2009,5
113,1.9458,2009,6
114,1.942,2009,7
115,1.8385,2009,8
116,1.8087,2009,9
117,1.7037,2009,10
118,1.729,2009,11
119,1.7557,2009,12
120,1.7711,2010,1
121,1.867,2010,2
122,1.7644,2010,3
123,1.7483,2010,4
124,1.7967,2010,5
125,1.7971,2010,6
126,1.769,2010,7
127,1.7716,2010,8
128,1.7169,2010,9
129,1.6604,2010,10
130,1.7198,2010,11
131,1.6988,2010,12
132,1.6843,2011,1
133,1.6682,2011,2
134,1.6692,2011,3
135,1.5776,2011,4
136,1.6328,2011,5
137,1.596,2011,6
138,1.5743,2011,7
139,1.5956,2011,8
140,1.7106,2011,9
141,1.7376,2011,10
142,1.7649,2011,11
143,1.8609,2011,12
144,1.7853,2012,1
145,1.7158,2012,2
146,1.8006,2012,3
147,1.8364,2012,4
148,1.9941,2012,5
149,2.0443,2012,6
150,2.0332,2012,7
151,2.0338,2012,8
152,2.0234,2012,9
153,2.0139,2012,10
154,2.0382,2012,11
155,2.084,2012,12
156,2.0374,2013,1
157,1.96,2013,2
158,1.9749,2013,3
159,1.979,2013,4
160,2.0233,2013,5
161,2.1367,2013,6
162,2.2548,2013,7
163,2.3434,2013,8
164,2.2785,2013,9
165,2.1818,2013,10
166,2.3289,2013,11
167,2.3354,2013,12
168,2.347,2014,1
169,2.3924,2014,2
