,NÚMERO ÍNDICE,Ano,Mes
0,141.31,1994,1
1,198.22,1994,2
2,282.96,1994,3
3,403.73,1994,4
4,581.49,1994,5
5,857.29,1994,6
6,915.93,1994,7
7,932.97,1994,8
8,947.24,1994,9
9,972.06,1994,10
10,999.37,1994,11
11,1016.46,1994,12
12,1033.74,1995,1
13,1044.28,1995,2
14,1060.47,1995,3
15,1086.24,1995,4
16,1115.24,1995,5
17,1140.44,1995,6
18,1167.35,1995,7
19,1178.91,1995,8
20,1190.58,1995,9
21,1207.37,1995,10
22,1225.12,1995,11
23,1244.23,1995,12
24,1260.9,1996,1
25,1273.89,1996,2
26,1278.35,1996,3
27,1294.46,1996,4
28,1310.25,1996,5
29,1325.84,1996,6
30,1340.56,1996,7
31,1346.46,1996,8
32,1348.48,1996,9
33,1352.53,1996,10
34,1356.86,1996,11
35,1363.24,1996,12
36,1379.33,1997,1
37,1386.23,1997,2
38,1393.3,1997,3
39,1405.56,1997,4
40,1411.32,1997,5
41,1418.94,1997,6
42,1422.06,1997,7
43,1421.78,1997,8
44,1422.63,1997,9
45,1425.9,1997,10
46,1428.32,1997,11
47,1434.46,1997,12
48,1444.64,1998,1
49,1451.29,1998,2
50,1456.22,1998,3
51,1459.71,1998,4
52,1467.01,1998,5
53,1467.3,1998,6
54,1465.54,1998,7
55,1458.07,1998,8
56,1454.86,1998,9
57,1455.15,1998,10
58,1453.4,1998,11
59,1458.2,1998,12
60,1468.41,1999,1
61,1483.83,1999,2
62,1500.15,1999,3
63,1508.55,1999,4
64,1513.08,1999,5
65,1515.95,1999,6
66,1532.47,1999,7
67,1541.05,1999,8
68,1545.83,1999,9
69,1564.23,1999,10
70,1579.09,1999,11
71,1588.56,1999,12
72,1598.41,2000,1
73,1600.49,2000,2
74,1604.01,2000,3
75,1610.75,2000,4
76,1610.91,2000,5
77,1614.62,2000,6
78,1640.62,2000,7
79,1662.11,2000,8
80,1665.93,2000,9
81,1668.26,2000,10
82,1673.6,2000,11
83,1683.47,2000,12
84,1693.07,2001,1
85,1700.86,2001,2
86,1707.32,2001,3
87,1717.22,2001,4
88,1724.26,2001,5
89,1733.23,2001,6
90,1756.28,2001,7
91,1768.57,2001,8
92,1773.52,2001,9
93,1788.24,2001,10
94,1800.94,2001,11
95,1812.65,2001,12
96,1822.08,2002,1
97,1828.64,2002,2
98,1839.61,2002,3
99,1854.33,2002,4
100,1858.22,2002,5
101,1866.02,2002,6
102,1888.23,2002,7
